paper_id,csv_title,bibtex_title,similarity_score,match_type,notes,title_length_csv,title_length_bibtex
ref1,"Cold Start Latency in Serverless Computing: A Systematic Review, Taxonomy, and Future Directions","Cold Start Latency in Serverless Computing: A Systematic Review, Taxonomy, and Future Directions",1.0,EXACT_MATCH,Perfect match,96,96
ref2,The Night Shift: Understanding Performance Variability of Cloud Serverless Platforms,The Night Shift: Understanding Performance Variability of Cloud Serverless Platforms,1.0,EXACT_MATCH,Perfect match,84,84
ref4,"Benchmarking, Analysis, and Optimization of Serverless Function Snapshots","Benchmarking, analysis, and optimization of serverless function snapshots",1.0,EXACT_MATCH,Perfect match,73,73
ref11,Atoll: A Scalable Low-Latency Serverless Platform,SCOOP: A Scalable Object-Oriented Serverless Platform,0.735,SIMILAR_MATCH,Similar match (73.5% similarity),49,53
ref14,TinyFaaS: A Lightweight FaaS Platform for Edge Environments,tinyFaaS: A Lightweight FaaS Platform for Edge Environments,1.0,EXACT_MATCH,Perfect match,59,59
ref15,Cold Start Latency Prediction Framework in Serverless Edge Computing,MASTER: Machine Learning-Based Cold Start Latency Prediction Framework in Serverless Edge Computing Environments for Industry 4.0,0.701,SIMILAR_MATCH,Similar match (70.1% similarity),68,129
ref18,CloudBurst: Stateful Functions-as-a-Service,Stateful functions as a service in action,0.7,SIMILAR_MATCH,Similar match (70.0% similarity),43,41
ref19,A Fault-Tolerance Shim for Serverless Computing,A fault-tolerance shim for serverless computing,1.0,EXACT_MATCH,Perfect match,47,47
ref21,Valve: Securing Function Workflows on Serverless Computing Platforms,Valve: Securing Function Workflows on Serverless Computing Platforms,1.0,EXACT_MATCH,Perfect match,68,68
ref23,Se-Lambda: Securing Privacy-Sensitive Serverless Applications Using SGX Enclave,Se-Lambda: Securing Privacy-Sensitive Serverless Applications Using SGX Enclave,1.0,EXACT_MATCH,Perfect match,79,79
ref25,WLEC: A Not So Cold Architecture to Mitigate Cold Start Problem in Serverless Computing,WLEC: A Not So Cold Architecture to Mitigate Cold Start Problem in Serverless Computing,1.0,EXACT_MATCH,Perfect match,87,87
ref26,Secure Serverless Computing Using Dynamic Information Flow Control,Secure serverless computing using dynamic information flow control,1.0,EXACT_MATCH,Perfect match,66,66
ref27,Workflow Integration Alleviates Identity and Access Management in Serverless Computing,Workflow Integration Alleviates Identity and Access Management in Serverless Computing,1.0,EXACT_MATCH,Perfect match,86,86
ref29,QoS Aware FaaS Platform,QoS aware FaaS platform,1.0,EXACT_MATCH,Perfect match,23,23
ref30,Cocoa: Cold Start Aware Capacity Planning for Function-as-a-Service Platforms,COCOA: Cold Start Aware Capacity Planning for Function-as-a-Service Platforms,1.0,EXACT_MATCH,Perfect match,77,77
