consolidated_id,title,year,venue,category,keywords,Latency,Reliability & QoS,Security & Privacy,Cost,Energy Consumption,Resource Management,Benchmarking & Evaluation
16,Serverless in the Wild: Characterizing and Optimizing the Serverless Workload at a Large Cloud Provider,2020,USENIX ATC,"Reliability, Workload","workload analysis, optimization",No,Yes,No,No,No,No,No
17,Fault-tolerant and Transactional Stateful Serverless Workflows,2020,USENIX OSDI,"Reliability, Workflow","fault tolerance, transactions, stateful",No,Yes,No,No,No,No,No
18,CloudBurst: Stateful Functions-as-a-Service,2020,VLDB,"Reliability, Stateful","stateful FaaS, storage",No,Yes,No,No,No,No,No
19,A Fault-Tolerance Shim for Serverless Computing,2020,EuroSys,Reliability,"fault tolerance, shim",No,Yes,No,No,No,No,No
20,OFC: An Opportunistic Caching System for FaaS Platforms,2021,EuroSys,"Reliability, Caching","edge caching, FaaS",No,Yes,No,No,No,No,No
28,Sequoia: Enabling Quality-of-Service in Serverless Computing,2020,ACM SoCC,"QoS, Scheduling","QoS, scheduling, isolation",No,Yes,No,No,No,Yes,No
29,QoS Aware FaaS Platform,2021,IEEE/ACM CCGrid,"QoS, Scheduling","QoS, FaaS scheduling",No,Yes,No,No,No,Yes,No
30,Cocoa: Cold Start Aware Capacity Planning for Function-as-a-Service Platforms,2020,IEEE MASCOTS,"QoS, Performance","capacity planning, cold start",Yes,Yes,No,No,No,No,Yes
31,Adaptive Function Launching Acceleration in Serverless Computing Platforms,2019,IEEE ICPADS,"QoS, Performance","pre-warm, scheduling",No,Yes,No,No,No,Yes,Yes
32,Caerus: NIMBLE Task Scheduling for Serverless Analytics,2021,USENIX NSDI,"QoS, Scheduling","analytics, scheduling, performance",No,Yes,No,No,No,Yes,Yes
33,Kraken: Adaptive Container Provisioning for Deploying Dynamic DAGs in Serverless Platforms,2021,ACM SoCC,"QoS, ResourceMgmt","DAG, autoscaling",No,Yes,No,No,No,Yes,No
34,Spock: Exploiting Serverless Functions for SLO and Cost Aware Resource Procurement,2019,IEEE CLOUD,"QoS, Cost","SLO, cost optimization",No,Yes,No,Yes,No,Yes,No
35,Defuse: A Dependency-Guided Function Scheduler to Mitigate Cold Starts on FaaS Platforms,2021,IEEE ICDCS,"QoS, Performance","scheduler, cold start",Yes,Yes,No,No,No,No,Yes
64,RL-Based Approach to Enhance Reliability and Efficiency in Autoscaling for Heterogeneous Edge Serverless Computing Environments,2024,IEEE,"Reliability, Performance","reliability, efficiency, autoscaling, edge computing, latency, resource management",Yes,Yes,No,No,No,Yes,Yes
65,Optimizing Cold Start Performance in Serverless Computing Environments,2024,IEEE,"Latency, Performance","cold start, latency, performance, reliability",Yes,Yes,No,No,No,No,Yes
71,Towards Quality of Experience Fairness for Serverless Functions,2024,IEEE,"QoS, Resource Management","QoS, fairness, resource allocation",No,Yes,No,No,No,Yes,No
75,"Resource Management in Serverless Computing - Review, Research Challenges, and Prospects",2023,IEEE,"Resource Management, Survey","resource management, survey, QoS",No,Yes,No,No,No,Yes,No
81,Designing Quality of Service aware Serverless Platforms,2024,IISc Thesis,QoS,"QoS, serverless platforms, resource allocation",No,Yes,No,No,No,Yes,No
124,QoS fairness in serverless functions,2024,IEEE Transactions on Services Computing,Reliability & QoS,"QoS, fairness",No,Yes,No,No,No,No,No
129,RL-Based Approach to Enhance Reliability and Efficiency in Autoscaling for Heterogeneous Edge Serverless Computing Environments,2024,IEEE,"Reliability, Performance, Resource Management","reliability, efficiency, autoscaling, edge computing, latency, resource management",Yes,Yes,No,No,No,Yes,Yes
130,Optimizing Cold Start Performance in Serverless Computing Environments,2024,IEEE,"Latency, Performance","cold start, latency, performance, reliability",Yes,Yes,No,No,No,No,Yes
136,Towards Quality of Experience Fairness for Serverless Functions,2024,IEEE,"QoS, Resource Management","QoS, fairness, resource allocation",No,Yes,No,No,No,Yes,No
140,"Resource Management in Serverless Computing - Review, Research Challenges, and Prospects",2023,IEEE,"Resource Management, Survey","resource management, survey, QoS",No,Yes,No,No,No,Yes,No
145,Designing Quality of Service aware Serverless Platforms,2024,IISc Thesis,QoS,"QoS, serverless platforms, resource allocation",No,Yes,No,No,No,Yes,No
