paper_id,source_title,source_file,original_title,crossref_title,authors,journal,year,volume,issue,pages,publisher,doi,url,type,score
ref1,csv_title,titles_matched.csv,"Cold Start Latency in Serverless Computing: A Systematic Review, Taxonomy, and Future Directions","Cold Start Latency in Serverless Computing: A Systematic Review, Taxonomy, and Future Directions",Muhammed Golec; Guneet Kaur Walia; Mohit Kumar; Felix Cuadrado; Sukhpal Singh Gill; Steve Uhlig,ACM Computing Surveys,2025,57,3,1-36,Association for Computing Machinery (ACM),10.1145/3700875,https://doi.org/10.1145/3700875,journal-article,68.28762
ref2,csv_title,titles_matched.csv,The Night Shift: Understanding Performance Variability of Cloud Serverless Platforms,The Night Shift: Understanding Performance Variability of Cloud Serverless Platforms,Trever Schirmer; Nils Japke; Sofia Greten; Tobias Pfandzelter; David Bermbach,"Proceedings of the 1st Workshop on SErverless Systems, Applications and MEthodologies",2023,,,27-33,ACM,10.1145/3592533.3592808,https://doi.org/10.1145/3592533.3592808,proceedings-article,61.36368
ref4,csv_title,titles_matched.csv,"Benchmarking, Analysis, and Optimization of Serverless Function Snapshots","Benchmarking, analysis, and optimization of serverless function snapshots",Dmitrii Ustiugov; Plamen Petrov; Marios Kogias; Edouard Bugnion; Boris Grot,Proceedings of the 26th ACM International Conference on Architectural Support for Programming Languages and Operating Systems,2021,,,559-572,ACM,10.1145/3445814.3446714,https://doi.org/10.1145/3445814.3446714,proceedings-article,50.999706
ref11,bibtex_title,titles_matched.csv,SCOOP: A Scalable Object-Oriented Serverless Platform,SCOOP: A Scalable Object-Oriented Serverless Platform,Narges Shahidi; Jashwant Raj Gunasekaran; Mahmut Taylan Kandemir; Bhuvan Urgaonkar,2023 IEEE 16th International Conference on Cloud Computing (CLOUD),2023,,,1-3,IEEE,10.1109/cloud60044.2023.00069,https://doi.org/10.1109/cloud60044.2023.00069,proceedings-article,61.65824
ref14,csv_title,titles_matched.csv,TinyFaaS: A Lightweight FaaS Platform for Edge Environments,tinyFaaS: A Lightweight FaaS Platform for Edge Environments,Tobias Pfandzelter; David Bermbach,2020 IEEE International Conference on Fog Computing (ICFC),2020,,,17-24,IEEE,10.1109/icfc49376.2020.00011,https://doi.org/10.1109/icfc49376.2020.00011,proceedings-article,61.428684
ref15,bibtex_title,titles_matched.csv,MASTER: Machine Learning-Based Cold Start Latency Prediction Framework in Serverless Edge Computing Environments for Industry 4.0,MASTER: Machine Learning-Based Cold Start Latency Prediction Framework in Serverless Edge Computing Environments for Industry 4.0,Muhammed Golec; Sukhpal Singh Gill; Huaming Wu; Talat Cemre Can; Mustafa Golec; Oktay Cetinkaya; Felix Cuadrado; Ajith Kumar Parlikad; Steve Uhlig,IEEE Journal of Selected Areas in Sensors,2024,1,,36-48,Institute of Electrical and Electronics Engineers (IEEE),10.1109/jsas.2024.3396440,https://doi.org/10.1109/jsas.2024.3396440,journal-article,78.235466
ref18,bibtex_title,titles_matched.csv,Stateful functions as a service in action,Stateful functions as a service in action,Adil Akhter; Marios Fragkoulis; Asterios Katsifodimos,Proceedings of the VLDB Endowment,2019,12,12,1890-1893,Association for Computing Machinery (ACM),10.14778/3352063.3352092,https://doi.org/10.14778/3352063.3352092,journal-article,35.85705
ref19,csv_title,titles_matched.csv,A Fault-Tolerance Shim for Serverless Computing,A fault-tolerance shim for serverless computing,Vikram Sreekanti; Chenggang Wu; Saurav Chhatrapati; Joseph E. Gonzalez; Joseph M. Hellerstein; Jose M. Faleiro,Proceedings of the Fifteenth European Conference on Computer Systems,2020,,,1-15,ACM,10.1145/3342195.3387535,https://doi.org/10.1145/3342195.3387535,proceedings-article,52.189816
ref21,csv_title,titles_matched.csv,Valve: Securing Function Workflows on Serverless Computing Platforms,Valve: Securing Function Workflows on Serverless Computing Platforms,Pubali Datta; Prabuddha Kumar; Tristan Morris; Michael Grace; Amir Rahmati; Adam Bates,Proceedings of The Web Conference 2020,2020,,,939-950,ACM,10.1145/3366423.3380173,https://doi.org/10.1145/3366423.3380173,proceedings-article,65.13917
ref23,csv_title,titles_matched.csv,Se-Lambda: Securing Privacy-Sensitive Serverless Applications Using SGX Enclave,Se-Lambda: Securing Privacy-Sensitive Serverless Applications Using SGX Enclave,Weizhong Qiang; Zezhao Dong; Hai Jin,"Lecture Notes of the Institute for Computer Sciences, Social Informatics and Telecommunications Engineering",2018,,,451-470,Springer International Publishing,10.1007/978-3-030-01701-9_25,https://doi.org/10.1007/978-3-030-01701-9_25,book-chapter,88.781944
