paper_id,csv_title,bibtex_title,similarity_score,match_status,csv_present,bibtex_present,title_length_csv,title_length_bibtex
ref1,"Cold Start Latency in Serverless Computing: A Systematic Review, Taxonomy, and Future Directions","Cold Start Latency in Serverless Computing: A Systematic Review, Taxonomy, and Future Directions",1.0,EXACT_MATCH,True,True,96,96
ref2,The Night Shift: Understanding Performance Variability of Cloud Serverless Platforms,The Night Shift: Understanding Performance Variability of Cloud Serverless Platforms,1.0,EXACT_MATCH,True,True,84,84
ref3,SeBS: A Serverless Benchmark Suite for Function-as-a-Service Computing,SeBS-Flow: Benchmarking Serverless Cloud Function Workflows,0.488,DIFFERENT,True,True,70,59
ref4,"Benchmarking, Analysis, and Optimization of Serverless Function Snapshots","Benchmarking, analysis, and optimization of serverless function snapshots",1.0,EXACT_MATCH,True,True,73,73
ref5,Catalyzer: Sub-millisecond Startup for Serverless Computing with Initialization-less Booting,Nuka: A Generic Engine with Millisecond Initialization for Serverless Computing,0.539,PARTIAL_MATCH,True,True,92,79
ref6,Firecracker: Lightweight Virtualization for Serverless Applications,Microarchitectural Security of Firecracker VMM for Serverless Cloud Platforms,0.49,DIFFERENT,True,True,67,77
ref7,SEUSS: Skip Redundant Paths to Make Serverless Fast,On k-skip shortest paths,0.411,DIFFERENT,True,True,51,24
ref8,From Warm to Hot Starts: Leveraging Runtimes for the Serverless Era,From warm to hot starts,0.517,PARTIAL_MATCH,True,True,67,23
ref9,Peeking Behind the Curtains of Serverless Platforms,Peeking Behind the Curtains,0.692,PARTIAL_MATCH,True,True,51,27
ref10,Wukong: A Scalable and Locality-Enhanced Framework for Serverless Parallel Computing,SMPI: Scalable Serverless MPI Computing,0.533,PARTIAL_MATCH,True,True,84,39
ref11,Atoll: A Scalable Low-Latency Serverless Platform,SCOOP: A Scalable Object-Oriented Serverless Platform,0.735,SIMILAR_MATCH,True,True,49,53
ref12,FaaStLane: Accelerating Function-as-a-Service Workflows,HybridSFC: Accelerating Service Function Chains with Parallelism,0.526,PARTIAL_MATCH,True,True,55,64
ref13,SAND: Towards High-Performance Serverless Computing,Serverless High-Performance Computing over Cloud,0.604,PARTIAL_MATCH,True,True,51,48
ref14,TinyFaaS: A Lightweight FaaS Platform for Edge Environments,tinyFaaS: A Lightweight FaaS Platform for Edge Environments,1.0,EXACT_MATCH,True,True,59,59
ref15,Cold Start Latency Prediction Framework in Serverless Edge Computing,MASTER: Machine Learning-Based Cold Start Latency Prediction Framework in Serverless Edge Computing Environments for Industry 4.0,0.701,SIMILAR_MATCH,True,True,68,129
ref16,Serverless in the Wild: Characterizing and Optimizing the Serverless Workload at a Large Cloud Provider,Optimizing Simultaneous Autoscaling for Serverless Cloud Computing,0.393,DIFFERENT,True,True,103,66
